client_id,Source_IP_Encoded,Bytes_Sent,Protocol_Type,Session_Length_sec,Intrusion
Network_1,442968,60285,ICMP,101,0
Network_1,517660,28377,ICMP,523,0
Network_1,481731,10892,ICMP,354,0
Network_1,664797,35164,ICMP,409,0
Network_1,518174,96326,ICMP,524,0
Network_1,121508,79423,ICMP,4,0
Network_1,645708,85963,UDP,412,0
Network_1,637841,71039,ICMP,284,0
Network_1,156557,17220,ICMP,586,0
Network_1,499442,76593,ICMP,297,0
Network_1,482293,68917,ICMP,424,0
Network_1,507350,80375,ICMP,190,1
Network_1,567957,6633,UDP,254,0
Network_1,941475,72246,UDP,286,0
Network_1,312522,93264,TCP,47,0
Network_1,876475,68632,ICMP,473,0
Network_1,916503,25977,TCP,471,0
Network_1,427745,13394,TCP,70,0
Network_1,340147,5977,UDP,392,0
Network_1,793552,6707,UDP,235,1
Network_1,857542,87826,ICMP,467,0
Network_1,187623,36881,ICMP,541,0
Network_1,316001,51274,ICMP,30,0
Network_1,446157,53082,TCP,575,0
Network_1,885658,2980,ICMP,207,0
Network_1,185050,9921,ICMP,331,0
Network_1,692620,34395,ICMP,365,0
Network_1,339973,1787,ICMP,549,0
Network_1,792057,59117,ICMP,62,0
Network_1,775725,18629,TCP,279,0
Network_1,155434,6471,ICMP,321,0
Network_1,107272,40356,TCP,260,0
Network_1,119956,58660,ICMP,154,0
Network_1,659225,18663,TCP,144,1
Network_1,344111,3604,ICMP,406,0
Network_1,651891,98483,UDP,163,0
Network_1,829218,85587,TCP,270,0
Network_1,943118,38150,TCP,434,0
Network_1,701816,68672,TCP,347,0
Network_1,640487,13434,TCP,534,1
Network_1,665307,19229,ICMP,424,0
Network_1,300374,99251,TCP,368,0
Network_1,400060,3535,TCP,379,0
Network_1,648901,59074,UDP,289,0
Network_1,686976,14863,UDP,334,0
Network_1,532688,89888,ICMP,115,0
Network_1,511220,52095,TCP,52,0
Network_1,260096,18021,UDP,546,0
Network_1,877385,31825,TCP,366,0
Network_1,442921,28691,ICMP,578,0
Network_1,303075,14847,TCP,23,0
Network_1,444443,98532,ICMP,425,0
Network_1,531001,52801,ICMP,111,0
Network_1,377917,70391,UDP,351,0
Network_1,524787,95915,UDP,175,0
Network_1,800009,22389,TCP,585,0
Network_1,343897,93311,TCP,167,0
Network_1,970471,8011,ICMP,147,0
Network_1,203761,99912,TCP,143,0
Network_1,578576,71862,TCP,441,0
Network_1,251301,25913,ICMP,534,0
Network_1,177113,25017,TCP,110,0
Network_1,258037,17711,ICMP,134,0
Network_1,301699,58441,TCP,136,0
Network_1,821874,63611,ICMP,105,0
Network_1,906569,7430,TCP,219,0
Network_1,803195,37034,ICMP,340,0
Network_1,536469,48877,UDP,509,0
Network_1,247323,71668,TCP,44,1
Network_1,621704,81689,TCP,521,0
Network_1,165843,10038,ICMP,36,0
Network_1,523202,24593,TCP,489,0
Network_1,468000,31580,TCP,256,0
Network_1,709822,93474,TCP,358,0
Network_1,934212,60004,ICMP,20,0
Network_1,406918,77747,ICMP,85,0
Network_1,436124,2129,TCP,365,0
Network_1,897955,30629,UDP,517,0
Network_1,905542,66604,ICMP,519,1
Network_1,210748,70090,ICMP,137,0
Network_1,977967,97198,UDP,267,1
Network_1,528308,42839,TCP,93,0
Network_1,961227,28014,ICMP,343,0
Network_1,221242,93418,UDP,404,0
Network_1,904963,39664,UDP,387,0
Network_1,574347,88784,UDP,403,0
Network_1,306417,94721,ICMP,270,0
Network_1,707362,56667,TCP,517,0
Network_1,339551,39326,ICMP,116,0
Network_1,417452,81613,TCP,68,0
Network_1,639460,37754,UDP,426,0
Network_1,847823,84846,UDP,348,0
Network_1,480308,37451,UDP,249,0
Network_1,796306,77152,TCP,456,1
Network_1,414930,23538,ICMP,209,0
Network_1,460369,22507,UDP,266,0
Network_1,134489,84446,UDP,163,1
Network_1,808724,34697,TCP,356,0
Network_1,350878,16081,UDP,150,0
Network_1,944967,22498,UDP,69,0
Network_1,182186,73353,ICMP,525,0
Network_1,292885,58528,UDP,237,0
Network_1,820760,7917,UDP,451,0
Network_1,216639,26521,UDP,216,0
Network_1,309200,94036,ICMP,445,0
Network_1,270980,54939,UDP,324,0
Network_1,391901,47692,UDP,76,0
Network_1,554554,45427,UDP,385,0
Network_1,893968,23336,UDP,147,0
Network_1,562506,41539,UDP,555,0
Network_1,681019,59429,ICMP,130,0
Network_1,416580,28006,UDP,507,0
Network_1,168492,29671,ICMP,502,0
Network_1,485753,91512,UDP,54,0
Network_1,455747,43218,TCP,313,0
Network_1,837634,71657,TCP,99,0
Network_1,192550,69198,TCP,374,0
Network_1,683405,66644,TCP,117,0
Network_1,563748,87343,UDP,92,0
Network_1,166274,80219,TCP,54,0
Network_1,713520,85146,UDP,141,0
Network_1,386565,2664,ICMP,21,0
Network_1,162939,21398,UDP,571,0
Network_1,319617,45098,TCP,77,1
Network_1,186707,63048,ICMP,242,0
Network_1,633567,93778,UDP,398,0
Network_1,629860,84612,TCP,398,0
Network_1,261496,91039,TCP,81,0
Network_1,622522,23117,TCP,592,1
Network_1,152454,29770,ICMP,6,0
Network_1,214400,3717,ICMP,67,0
Network_1,268521,65662,ICMP,96,0
Network_1,952821,66283,TCP,70,0
Network_1,962463,42869,TCP,416,0
Network_1,480569,75213,UDP,330,0
Network_1,598831,22250,ICMP,503,0
Network_1,675757,23757,UDP,315,0
Network_1,194543,89311,TCP,256,0
Network_1,316452,40520,UDP,164,0
Network_1,897831,41193,UDP,506,0
Network_1,802697,64762,ICMP,189,0
Network_1,217285,89087,TCP,14,0
Network_1,377748,34983,UDP,464,0
Network_1,589904,39378,UDP,284,0
Network_1,377279,92239,TCP,534,0
Network_1,664220,81552,UDP,463,0
Network_1,137024,86689,TCP,499,0
Network_1,822969,28651,ICMP,437,0
Network_1,609962,40673,ICMP,410,0
Network_1,422560,82942,UDP,88,0
Network_1,486179,99401,ICMP,328,0
Network_1,315328,55869,UDP,108,0
Network_1,838994,94350,TCP,105,0
Network_1,737004,90814,ICMP,501,0
Network_1,500066,48832,UDP,441,1
Network_1,418675,57896,ICMP,88,0
Network_1,878930,95756,TCP,497,0
Network_1,187233,71273,ICMP,78,0
Network_1,192516,9974,ICMP,594,0
Network_1,340021,68198,ICMP,474,0
Network_1,922892,26915,TCP,331,0
Network_1,461975,50225,ICMP,383,1
Network_1,326868,42631,UDP,84,0
Network_1,364360,32804,TCP,214,1
Network_1,910526,75407,TCP,163,0
Network_1,154153,1237,TCP,180,0
Network_1,178784,85496,TCP,66,0
Network_1,537396,14936,ICMP,267,1
Network_1,890593,10543,UDP,120,0
Network_1,767934,32291,TCP,418,0
Network_1,110394,93944,TCP,203,0
Network_1,778327,20121,ICMP,438,0
Network_1,679287,46545,TCP,22,0
Network_1,596914,11876,TCP,545,0
Network_1,160504,46201,ICMP,27,0
Network_1,711358,89166,ICMP,428,0
Network_1,506468,27714,UDP,399,0
Network_1,804898,7261,ICMP,330,0
Network_1,365895,6344,UDP,300,0
Network_1,633021,31016,ICMP,424,0
Network_1,911387,84335,ICMP,138,0
Network_1,714584,76293,TCP,72,0
Network_1,395082,32320,UDP,521,0
Network_1,259300,83760,ICMP,320,0
Network_1,454831,7120,TCP,466,0
Network_1,659145,99037,TCP,280,0
Network_1,612907,58646,UDP,510,0
Network_1,142670,21987,TCP,242,0
Network_1,367657,61342,TCP,507,0
Network_1,218000,24020,TCP,559,0
Network_1,143675,64579,TCP,237,0
Network_1,296178,81508,ICMP,507,0
Network_1,378977,69675,UDP,538,0
Network_1,826224,38677,UDP,183,0
Network_1,170863,30618,UDP,366,0
Network_1,485944,65323,ICMP,147,0
Network_1,159228,38798,TCP,282,0
Network_1,172800,27286,ICMP,437,1
Network_1,448320,86770,UDP,412,0
Network_1,157379,65316,UDP,470,1
Network_1,826913,88378,TCP,291,0
Network_1,861714,37795,UDP,510,0
Network_1,264512,18462,TCP,402,0
Network_1,184853,83734,ICMP,40,0
Network_1,498620,12925,UDP,488,0
Network_1,714300,59477,UDP,409,0
Network_1,216274,57426,UDP,9,0
Network_1,166648,17233,ICMP,405,0
Network_1,820938,71913,UDP,159,0
Network_1,346611,32844,TCP,321,0
Network_1,588965,50938,ICMP,530,0
Network_1,705684,59960,TCP,568,0
