client_id,Time_Studied_hr,Quiz_Score,Pages_Viewed,Interaction_Level,Passed
School_A,5.655614742065602,36,69,6,1
School_A,5.0946858740058065,7,32,5,0
School_A,3.0004570925256435,15,57,7,1
School_A,2.8858441862212314,85,39,7,1
School_A,1.7712411895810687,63,32,2,1
School_A,2.2966043708078088,65,52,7,1
School_A,3.147977958010318,21,89,7,1
School_A,1.8811071990737753,8,59,5,1
School_A,5.134221330232927,43,49,2,0
School_A,-0.35372660875614814,73,84,5,1
School_A,3.6033806625588376,33,4,5,1
School_A,1.6959167149491872,95,76,2,1
School_A,2.2890419038830374,25,85,5,0
School_A,4.7785695433110265,17,24,1,1
School_A,1.1716965315982617,54,4,3,1
School_A,2.1516131475164695,28,72,8,1
School_A,3.087797598684263,54,4,3,1
School_A,4.193775227674699,72,21,2,1
School_A,6.768864170620928,78,65,7,1
School_A,3.5579458900633156,51,44,4,0
School_A,5.174946286293533,18,28,3,0
School_A,4.238308384751145,30,54,3,0
School_A,1.4872318807461928,57,9,9,0
School_A,2.485802380605178,57,81,4,1
School_A,3.596271499599,80,67,6,1
School_A,2.470924701955168,2,51,9,1
School_A,1.9576561837024187,5,33,2,1
School_A,0.4097125345161565,98,18,3,0
School_A,3.414594296148657,74,55,9,0
School_A,2.8627195171530153,38,27,2,1
School_A,3.482769368835564,81,79,7,1
School_A,1.2760642743471258,55,35,5,0
School_A,2.21501644234416,48,68,6,1
School_A,2.7277108922057494,15,56,3,0
School_A,-0.2671075380196566,79,85,5,0
School_A,2.8937812442534274,93,47,2,1
School_A,2.2657228108161673,96,16,9,1
School_A,1.9942095124318668,60,2,2,1
School_A,1.1858030437720712,48,57,8,1
School_A,3.692896390452235,20,16,6,1
School_A,2.7809624996854576,28,32,7,0
School_A,3.3418167322935095,76,20,9,1
School_A,2.728974161714328,44,30,6,1
School_A,0.7894509935584924,49,71,3,1
School_A,6.2211676404037135,30,80,1,1
School_A,4.374730176041442,0,86,5,0
School_A,4.772714918637151,51,38,8,1
School_A,3.631043504563913,6,31,7,1
School_A,5.110891278046272,82,80,4,1
School_A,3.513505877845413,47,95,9,0
School_A,3.331935670276274,79,54,4,1
School_A,2.9693338519683934,34,24,3,1
School_A,3.2939456828716525,23,93,4,0
School_A,5.751649464100105,93,78,8,1
School_A,3.8400833016487335,10,55,1,1
School_A,3.452552927832105,84,99,7,0
School_A,3.5055701619550472,1,19,8,1
School_A,1.5984627224482686,5,84,8,1
School_A,4.0310037268721866,29,80,8,1
School_A,3.718705741846466,83,28,6,0
School_A,2.759810425657381,9,27,2,1
School_A,4.446904703630131,99,35,8,1
School_A,3.4968676852991005,42,40,2,0
School_A,3.9503620790669336,99,17,7,0
School_A,5.4153625388121025,7,68,7,1
School_A,2.9207069776470744,85,18,6,1
School_A,4.238892512784817,50,12,5,0
School_A,2.131394059311949,44,85,7,1
