client_id,Vehicles_Passed,Time_Of_Day,Day_Of_Week,Traffic_Level
City_1,396,6,Mon,Medium
City_1,339,21,Sun,Low
City_1,553,16,Mon,Low
City_1,1329,3,Wed,Low
City_1,809,16,Fri,Medium
City_1,1824,3,Fri,Medium
City_1,895,15,Wed,Low
City_1,1734,12,Wed,Medium
City_1,1080,0,Sun,Low
City_1,1449,21,Wed,Medium
City_1,1613,16,Sun,High
City_1,1582,9,Sun,High
City_1,1723,0,Mon,Low
City_1,903,2,Sat,Medium
City_1,179,12,Thu,Medium
City_1,253,10,Thu,Low
City_1,1720,12,Sun,Medium
City_1,431,18,Sat,Medium
City_1,1596,23,Mon,High
City_1,519,18,Thu,Low
City_1,1665,14,Tue,Low
City_1,903,21,Mon,Low
City_1,103,22,Sat,High
City_1,1212,22,Thu,High
City_1,1357,16,Wed,High
City_1,655,19,Thu,Low
City_1,992,15,Mon,Low
City_1,962,14,Fri,Medium
City_1,1400,1,Tue,Low
City_1,999,10,Mon,Medium
City_1,1186,10,Wed,Low
City_1,1885,18,Sat,Medium
City_1,1091,1,Wed,Medium
City_1,1517,22,Sun,Medium
City_1,1507,10,Mon,Medium
City_1,180,14,Thu,Medium
City_1,1667,22,Sat,High
City_1,243,1,Sat,High
City_1,423,10,Thu,Medium
City_1,551,16,Fri,Low
City_1,1966,10,Thu,Medium
City_1,529,16,Tue,Medium
City_1,1071,9,Thu,Low
City_1,1643,21,Sat,Medium
City_1,1445,21,Mon,Low
City_1,1660,3,Thu,Low
City_1,1512,0,Sat,Medium
City_1,1741,21,Sat,High
City_1,1349,15,Sat,Medium
City_1,659,10,Thu,Medium
City_1,513,2,Mon,High
City_1,1098,3,Sat,Medium
City_1,1475,15,Wed,Medium
City_1,341,22,Sun,Medium
City_1,287,4,Sat,Low
City_1,124,1,Thu,Medium
City_1,1887,19,Fri,High
City_1,1232,21,Sun,Low
City_1,1175,12,Fri,Medium
City_1,1522,14,Tue,Medium
City_1,954,10,Fri,Medium
City_1,658,21,Sun,High
City_1,1045,15,Tue,Low
City_1,748,20,Fri,High
City_1,342,10,Tue,Medium
City_1,1552,22,Fri,High
City_1,1058,12,Wed,Medium
City_1,1033,7,Sat,Medium
City_1,1721,6,Mon,Low
City_1,1200,17,Tue,Medium
City_1,533,18,Tue,Low
City_1,718,2,Mon,Medium
City_1,133,6,Sun,Low
City_1,438,9,Thu,High
City_1,1756,10,Wed,Medium
City_1,1450,10,Tue,Medium
City_1,401,5,Sun,Low
City_1,262,16,Thu,Medium
City_1,711,19,Fri,Medium
City_1,925,6,Tue,Low
City_1,1178,17,Mon,Medium
City_1,308,10,Mon,High
City_1,1735,13,Thu,Medium
City_1,543,15,Mon,Low
City_1,1771,17,Sat,Medium
City_1,544,5,Fri,Medium
City_1,748,8,Mon,Medium
City_1,153,15,Thu,Medium
City_1,404,21,Fri,Medium
City_1,1851,1,Thu,Low
City_1,1151,15,Tue,Low
